,image_name, comment_number, comment
72040,3468130925.jpg, 0, The rugby player in the black strip is trying to keep the player in red and yellow from taking the ball .
72041,3468130925.jpg, 1, One man in a rugby uniform is grabbing the arm of another man holding a football .
72042,3468130925.jpg, 2," Two men on a playing field , one of them holding a football ."
72043,3468130925.jpg, 3, The rugby players play on a field .
72044,3468130925.jpg, 4, Two men are playing rugby .
89930,4000148666.jpg, 0, Young boys in green and blue jerseys kick around a soccer ball while other soccer games take place in the background .
89931,4000148666.jpg, 1, A group of three boys are playing soccer while an adult man looks on .
89932,4000148666.jpg, 2, Parents in lawn chairs watching their kids at soccer practice .
89933,4000148666.jpg, 3, A man is watching over a few boys playing soccer .
89934,4000148666.jpg, 4, A group of young boys playing soccer .
147005,6917516932.jpg, 0," The umpire and others look on , as one baseball player slides into base and the other leaps high in the air ."
147006,6917516932.jpg, 1, One baseball player is on the ground with his mouth open while another jumps above him .
147007,6917516932.jpg, 2, A baseball player is sliding into second base while the opposing infielder jumps .
147008,6917516932.jpg, 3, A baseball player slides to base while an opposing player jumps over him .
147009,6917516932.jpg, 4, One man is jumping very high over another man .
151790,7538888988.jpg, 0," A man in a white shirt and gray slack hitting a golf ball on a golf course , with trees and power lines in the background ."
151791,7538888988.jpg, 1, There is a fellow in this photo taking a practice swing on a golf course .
151792,7538888988.jpg, 2, The older man drives the golf ball on a beautiful sunny day .
151793,7538888988.jpg, 3, A man in a white shirt enjoys a game of golf .
151794,7538888988.jpg, 4, A man practicing his driving swing .
63005,3262075846.jpg, 0, A group of opposing players are in the middle of a rugby game .
63006,3262075846.jpg, 1, A bunch of men play rugby on a muddy field .
63007,3262075846.jpg, 2, A group of men are playing rugby .
63008,3262075846.jpg, 3, Men play rugby .
63009,3262075846.jpg, 4, A group of men are playing rugby .
28865,2425262733.jpg, 0," A man in a hoodie skateboards in front of a blue sky and building , shot from below ."
28866,2425262733.jpg, 1, Man with jeans and a hooding doing skateboarding tricks .
28867,2425262733.jpg, 2, A skateboarder jumps midair near a building .
28868,2425262733.jpg, 3, A kid wearing a brown hoodie doing an ollie .
28869,2425262733.jpg, 4, A skateboarder making a jump .
63830,3280644151.jpg, 0," A halway has a sign that says "" PORT DU CASQUE OBLIGATOIRE "" and some graffiti ."
63831,3280644151.jpg, 1, A man in a gray hooded sweatshirt rides his bicycle on a half pipe .
63832,3280644151.jpg, 2, A person rides his bike over graffiti drawn on the ground .
63833,3280644151.jpg, 3, A picture of a skateboard ramp and a french sign .
63834,3280644151.jpg, 4, a kid doing tricks on the wall with his bmx bike
155010,8019420543.jpg, 0, A defensive football player from Wisconsin almost sacking the UTEP quarterback before he got rid of the ball .
155011,8019420543.jpg, 1, The quarterback of the UTEP football team is about to be tackled by a member of the Wisconsin defensive team .
155012,8019420543.jpg, 2," Football players , both in red and white uniforms , in mid-play on the football field ."
155013,8019420543.jpg, 3, A football game is being played in a stadium .
155014,8019420543.jpg, 4, Two football teams try to catch the pass .
143110,6342262756.jpg, 0, A soccer game where one team is wearing red and the other green is taking place .
143111,6342262756.jpg, 1, Multiple bodies collide in a soccer match .
143112,6342262756.jpg, 2, Seven people playing soccer on a field .
143113,6342262756.jpg, 3, Two teams playing a game of soccer .
143114,6342262756.jpg, 4, Soccer players dancing in the air .
100485,4473229124.jpg, 0, Three girls are walking along the sidewalk together and the one in the middle is bouncing a basketball .
100486,4473229124.jpg, 1, Three girls walking down the street while the one in the middle bounces a black basketball .
100487,4473229124.jpg, 2, Three teenage girls walking down the sidewalk together on a nice day
100488,4473229124.jpg, 3, Three teenagers outside walking down the street .
100489,4473229124.jpg, 4, African american woman bouncing black basketball
66735,3348385580.jpg, 0, A snowboarder in green grinds along the edge of a rail at night .
66736,3348385580.jpg, 1, a snowboarder wearing a green jacket jumping a green rainling
66737,3348385580.jpg, 2, A snowboarder wearing a green jacket jumps above a low gate .
66738,3348385580.jpg, 3, A helmeted boy flies through the air on a snowboard .
66739,3348385580.jpg, 4, A snowboarder balancing on a wall
14775,200778857.jpg, 0, A young boy wearing white shorts and a blue shirt has just kicked a soccer ball .
14776,200778857.jpg, 1, The little boy is wearing sunglasses and kicking a soccer ball .
14777,200778857.jpg, 2, A little boy in a blue shirt kicking a soccer ball around .
14778,200778857.jpg, 3, A little boy in a blue kicks a soccer ball .
14779,200778857.jpg, 4, A little boy is kicking a soccer ball .
23865,23016347.jpg, 0," A girl in a yellow tennis suit , green visor and white tennis shoes holding a tennis racket in a position where she is going to hit the tennis ball ."
23866,23016347.jpg, 1, a woman wearing a yellow shirt and shorts hit the tennis ball .
23867,23016347.jpg, 2, A young tennis player stretches for a ball on a clay court .
23868,23016347.jpg, 3, A woman tries to volley a tennis ball .
23869,23016347.jpg, 4, a woman wearing yellow playing tennis
156210,821071719.jpg, 0," A man dressed in orange t-shirt is trying to hit a baseball , with a few people looking at them and a keeper behind trying to catch the ball ."
156211,821071719.jpg, 1, Two people are playing baseball while another team watches off from the sideline .
156212,821071719.jpg, 2, Professional baseball players during the All Star game watch an opponent at bat .
156213,821071719.jpg, 3, A baseball player taking a swing at the plate .
156214,821071719.jpg, 4, A player swings at a ball .
46000,2856923934.jpg, 0," Two people are driving a blue jet ski , leaving a trail of water in the air ."
46001,2856923934.jpg, 1, A man steers a speeding jet ski through a turn .
46002,2856923934.jpg, 2, Two men are riding a blue and white jet ski .
46003,2856923934.jpg, 3, Two men are in a blue and white speed boat .
46004,2856923934.jpg, 4, Two people jetskiing on a blue jet ski .
54040,3053916979.jpg, 0, A man in a black shirt wanders around amongst fencing players .
54041,3053916979.jpg, 1, A man is standing in a gym surrounded by men fencing .
54042,3053916979.jpg, 2, A fencing class takes place on a basketball court .
54043,3053916979.jpg, 3, Many people are fencing on a basketball court .
54044,3053916979.jpg, 4, A man in a black shirt stares at a swordsman
147105,6923312748.jpg, 0, A left handed baseball player swings at a pitch while the catcher and umpire look on .
147106,6923312748.jpg, 1, A vigilant umpire watches the ball with the catcher at the batter swings for a hit .
147107,6923312748.jpg, 2, Baseball players and umpire at home plate making a play .
147108,6923312748.jpg, 3, A batter swings while the catcher and umpire look on .
147109,6923312748.jpg, 4, Baseball player takes a swing .
45300,2838085973.jpg, 0, The football player is preparing to make a play with onlookers nearby .
45301,2838085973.jpg, 1, A man wearing a white uniform is playing football .
45302,2838085973.jpg, 2, A football player prepares to throw the ball .
45303,2838085973.jpg, 3," A guy with a football , a crowd watching him ."
45304,2838085973.jpg, 4, quarterback for University of Florida
143930,6492500461.jpg, 0, Two female volleyball players on the court with the one in the front falling because she missed the ball .
143931,6492500461.jpg, 1," A young girl , wearing her team uniform , is preparing to hit a ball , as another girl watches ."
143932,6492500461.jpg, 2," Two girls on a volleyball team react to the purple , yellow , and white ball ."
143933,6492500461.jpg, 3, A team of women are playing volleyball game in front of an crowd of people .
143934,6492500461.jpg, 4, A pair of female volleyball players reach for a volleyball .
50760,2974798723.jpg, 0," A man is doing a skateboarding trick , known as the ollie , over a staircase ."
50761,2974798723.jpg, 1, Young male in a hoodie is doing a skateboard stunt on a flight of stairs .
50762,2974798723.jpg, 2, A skateboarder is attempting to jump down a set of concrete stairs .
50763,2974798723.jpg, 3, A skater is jumping down a huge staircase on his board .
50764,2974798723.jpg, 4, A skater is jumping down the stairs on his skateboard .
24705,232193739.jpg, 0, The guy in the blue shirt and jeans performs a grab trick on his skateboard .
24706,232193739.jpg, 1, A man on a skateboard is jumping in the air with it .
24707,232193739.jpg, 2, A man on a skateboard doing a jump over concrete .
24708,232193739.jpg, 3, A guy skateboarding on midair .
24709,232193739.jpg, 4, Skateboarder in the air .
79290,3626689571.jpg, 0, The man with the red shirt is holding a basketball and is in front of a basketball hoop .
79291,3626689571.jpg, 1, guy holding a basketball wearing red shirt black shorts with something on left leg
79292,3626689571.jpg, 2, A man in a pink shirt is standing in a basketball court holding a basketball .
79293,3626689571.jpg, 3, Tall man in red and black stands outside holding basketball .
79294,3626689571.jpg, 4, A young adult male stands with a basketball on a court .
51525,2994179598.jpg, 0, The man 's shirt is orange and has a United States flag patch on the shoulder .
51526,2994179598.jpg, 1, A man in a Miami basketball uniform looking to the right
51527,2994179598.jpg, 2, A Miami basketball player looks off in the distance .
51528,2994179598.jpg, 3, The Miami basketball player is looking .
51529,2994179598.jpg, 4, a man wears a orange jersey .
30240,2455286250.jpg, 0, A child holds a soccer ball above their head while a group of seated people watch .
30241,2455286250.jpg, 1, A boy throws a soccer ball from the sidelines in a soccer game .
30242,2455286250.jpg, 2, A girl in a sports outfit balances a soccer ball on her head .
30243,2455286250.jpg, 3, A child holds a soccer ball while people watch .
30244,2455286250.jpg, 4, A child holding a soccer ball over his head .
47575,2893476169.jpg, 0, A youth riding a skateboard is airborne amongst the basketball courts .
47576,2893476169.jpg, 1, A skateboarder flies thorugh the air while others watch .
47577,2893476169.jpg, 2, A male skateboarder is captured midair .
47578,2893476169.jpg, 3, A guy jumps high on his skateboard .
47579,2893476169.jpg, 4, A man in midair on a skateboard .
90295,4021188118.jpg, 0, The football team is ready to make a well calculated play .
90296,4021188118.jpg, 1, A home football game for the UCLA Bruins takes place .
90297,4021188118.jpg, 2, football teams set to snap the ball for a play .
90298,4021188118.jpg, 3, Football players are lined up on the field .
90299,4021188118.jpg, 4, Two teams playing football on the field .
24075,2306674172.jpg, 0, A man flies through the air on his skateboard above a white staircase .
24076,2306674172.jpg, 1, A boy in a blue shirt jumps down stairs on a skateboard .
24077,2306674172.jpg, 2, A skateboarder jumps his board down a flight of stairs .
24078,2306674172.jpg, 3, Skateboarder jumping down stairs of building .
24079,2306674172.jpg, 4, A skateboarder sails over white steps .
90755,4044342247.jpg, 0, The band is practicing before the championship game .
90756,4044342247.jpg, 1, The band is performing on the football field .
90757,4044342247.jpg, 2, A marching band playing on a football field .
90758,4044342247.jpg, 3, A marching band performs on the field .
90759,4044342247.jpg, 4, high school football band practice
141140,6167479966.jpg, 0, A football team in maroon jerseys takes the field while cheerleaders cheer them on .
141141,6167479966.jpg, 1, A group of football players out on the field during a game along side cheerleaders .
141142,6167479966.jpg, 2, The home team comes running out on to the football field .
141143,6167479966.jpg, 3, The Boston College football team runs onto the field .
141144,6167479966.jpg, 4, A football team plays before a nearly-empty stadium .
146615,6889203488.jpg, 0, Two teenage boys practice their soccer skills as their friends stand beside the goal and watch .
146616,6889203488.jpg, 1, A boy kicking a soccer ball into the net while the goalie jumps for the ball .
146617,6889203488.jpg, 2, Young athletes compete in a soccer game in an attempt to block a goal .
146618,6889203488.jpg, 3, Two kids practicing soccer while five others look on .
146619,6889203488.jpg, 4, Eight young men practicing soccer skills .
116270,4769459188.jpg, 0, A man in a black NFL jersey holds a large pile of PS3 games while a man holds a boom mike over him with a crowd in the background that includes a man in a large dog costume .
116271,4769459188.jpg, 1, Here is a picture of a young man wearing an NFL t-shirt and holding 30 Madden PS3 or PC video game CD 's .
116272,4769459188.jpg, 2, An athlete wearing a black and gold NFL jersey carries multiple copies of the same video game .
116273,4769459188.jpg, 3, A smiling man wearing a football jersey is carrying a stack of video games .
116274,4769459188.jpg, 4, A man in a black shirt is happy to hand out CDs .
26745,2374523052.jpg, 0," A guy with afro hair , gray sweater and jeans , skating on a skating ramp high up on the side touching grass ."
26746,2374523052.jpg, 1, A guy with curly hair is skateboarding along a gray ramp with yellow letters .
26747,2374523052.jpg, 2, A long-haired man wearing a gray hoodie skateboards above some graffiti .
26748,2374523052.jpg, 3, One guy skateboarding on a cement curb with his hands in the air .
26749,2374523052.jpg, 4, a skateboarder doing a trick
1880,112178718.jpg, 0, Man is standing on white sand and holding a snowboard .
1881,112178718.jpg, 1, A guy stands in the sand with a snowboard behind him .
1882,112178718.jpg, 2, A man with his surfboard stands in the sand .
1883,112178718.jpg, 3, a man holds his snowboard in the sand .
1884,112178718.jpg, 4, A man holds a surfboard on the beach .
148475,7030278443.jpg, 0," There is a crowd of people with their hands up in the air , supporting a man in a black uniform holding a white ball ."
148476,7030278443.jpg, 1, Fans and players celebrate and hoist their coach on their shoulders after winning a soccer match during a night game .
148477,7030278443.jpg, 2," Teenagers , dressed in sporty clothes , lift a bald man , holding a soccer ball in celebration ."
148478,7030278443.jpg, 3, Fans are cheering for an athlete wearing a medal and holding a ball .
148479,7030278443.jpg, 4, A soccer team carries their coach off of the field .
150135,7278851310.jpg, 0," Two men in red and blue T-Shirts are playing soccer , with the one in blue shirt trying to snatch the ball from the one in red shirt ."
150136,7278851310.jpg, 1, Two soccer players are running and kicking a soccer ball at a game .
150137,7278851310.jpg, 2, Two soccer players try their hardest to get to the ball .
150138,7278851310.jpg, 3, Two men playing soccer against each other .
150139,7278851310.jpg, 4, Two men are playing soccer .
41225,273248777.jpg, 0, The American footballer in yellow catches the ball whilst under pressure from the payer in white .
41226,273248777.jpg, 1, A football player in a full stadium jumping and recieving a football .
41227,273248777.jpg, 2, Two football players playing football before a huge crowd .
41228,273248777.jpg, 3, Two football players run into each other .
41229,273248777.jpg, 4, Two men vie for a football .
64500,3298547199.jpg, 0, Two men with excited looks on their faces leap inside of a fenced in area .
64501,3298547199.jpg, 1, Two boys inside a fence jump in the air while holding a basketball .
64502,3298547199.jpg, 2, Two men with joyous looks on their faces are leaping into the air .
64503,3298547199.jpg, 3," Two men , wearing warm clothing , are jumping beside a fence ."
64504,3298547199.jpg, 4, Two guys - one with a basketball in his hand - are jumping .
1005,1068427675.jpg, 0, A man in an all black outfit just threw a bowling ball down a lane towards the center of the bowling pins .
1006,1068427675.jpg, 1, A guy wearing all black at a bowling alley standing in front of a lane with a black bowling ball in it .
1007,1068427675.jpg, 2, A man is bowling at an alley with cosmic imagery including bowling balls and pins above the lanes .
1008,1068427675.jpg, 3, A man stand there after rolling a bowling ball down a lane .
1009,1068427675.jpg, 4, Man finished throwing bowling ball towards bowling pins .
154170,7851957868.jpg, 0, A man in a red uniform dives to hit a shuttlecock with his racket during an Olympic badminton match .
154171,7851957868.jpg, 1, A Chinese man is competing in a badminton competition at the Olympics .
154172,7851957868.jpg, 2, A man dressed in red dives for a shuttlecock with a racket on a court .
154173,7851957868.jpg, 3, A Asian man in a red and yellow uniform diving for the birdie in a game
154174,7851957868.jpg, 4, A male athlete in red and yellow is diving toward a badminton birdie .
149220,7146078471.jpg, 0, Four men ( a black team and a white team ) playing a sport on a field .
149221,7146078471.jpg, 1, A rugby player has the ball and is running past two fallen opponents .
149222,7146078471.jpg, 2, A soccer player in black with large hair runs through a pitch .
149223,7146078471.jpg, 3, A rugby player running the ball between two downed opponents .
149224,7146078471.jpg, 4, A football player runs past his competition with the ball .
118250,4805806827.jpg, 0, Two young girls in a pool as one throws a football in the air
118251,4805806827.jpg, 1, Two young ladies are having fun playing in a swimming pool .
118252,4805806827.jpg, 2, A woman in a pool with a young girl throws a football .
118253,4805806827.jpg, 3, Two girls play in a swimming pool with a football .
118254,4805806827.jpg, 4, Two women playing in water .
56945,3126773489.jpg, 0," The player in the white dribbles the ball , while the player in the orange tries to stop him ."
56946,3126773489.jpg, 1, A man with a basketball blocks an attempt to take his ball .
56947,3126773489.jpg, 2, Man runs by other man with basketball at a game .
56948,3126773489.jpg, 3, Two men are playing during a basketball game .
56949,3126773489.jpg, 4, a basketball player defends another player .
146280,6867047990.jpg, 0," A snowboarder in a red jacket and light pants grabbing the snowboard while in a midair trick , high above a background landscape ."
146281,6867047990.jpg, 1, Participant number five catches some big air on a snowboard .
146282,6867047990.jpg, 2, A snowboarder performs a grab trick in the air .
146283,6867047990.jpg, 3, A man performing stunts on a snowboard .
146284,6867047990.jpg, 4, A man jumping on a skiing board .
146345,6871584239.jpg, 0, Two basketball players in blue and yellow uniforms with their arms held above their heads are eagerly exerting themselves to be very close to a struggling guy in white uniform with red trim who is tightly holding a basketball .
146346,6871584239.jpg, 1, A group of young men playing basketball ; two members of the same team trying to block a player on the other team who has the ball .
146347,6871584239.jpg, 2," Men are playing a sport , as a man in the corner table watches ."
146348,6871584239.jpg, 3, Two teammates are guarding another man in a game of basketball .
146349,6871584239.jpg, 4, A guy is being double teamed in basketball .
47695,289620419.jpg, 0, A soccer team prepares for the day 's match under the gaze of the stadium spectators .
47696,289620419.jpg, 1," Teammates in blue , jog down a playing field with an audience watching ."
47697,289620419.jpg, 2, A soccer team in navy blue running onto the field beginning a game .
47698,289620419.jpg, 3, A team runs down the field doing some drills .
47699,289620419.jpg, 4, A group of male athletes is jogging .
65280,3319405494.jpg, 0, a group of skiers jumping down slopes with the sun directly cast in backgroud
65281,3319405494.jpg, 1, two skiers are jumping over a mound of snow underneath bright sunshine .
65282,3319405494.jpg, 2, Two people are going over a skii jump while one looks into the camera .
65283,3319405494.jpg, 3, Two skiing people jumping a ramp and a man looking straight ahead .
65284,3319405494.jpg, 4, Two skiers attempt tricks while a third poses behind their jump .
140755,6129698446.jpg, 0, Woman bending down to pick up a tennis ball outside in front of a wall with graffiti on it .
140756,6129698446.jpg, 1," A woman with a tennis racket is bending down , with graffiti in the background ."
140757,6129698446.jpg, 2, A woman playing tennis is bending forward to check on her sneaker .
140758,6129698446.jpg, 3, A woman in sports clothing playing tennis picking something up .
140759,6129698446.jpg, 4, A tennis player stops to pick up the ball .
141310,6185163733.jpg, 0," Two boys on opposing teams , blue and red versus purple and white , are chasing a soccer ball down the field while being watched by their other teammates ."
141311,6185163733.jpg, 1," A volleyball game where to two boys that are in trying for the ball , for their team ."
141312,6185163733.jpg, 2, The team in red and blue is playing soccer with the team in purple and white .
141313,6185163733.jpg, 3, Two young males playing football outdoors going for the ball .
141314,6185163733.jpg, 4, Two young boys are playing soccer .
53215,3035949542.jpg, 0, the legs of two athletes playing soccer on a field
53216,3035949542.jpg, 1, Two people play soccer while three people watch .
53217,3035949542.jpg, 2, Two guys in soccer attire chasing a soccer ball .
53218,3035949542.jpg, 3, Two soccer players chasing a ball in the grass .
53219,3035949542.jpg, 4, The lower halves of two kids playing soccer
74010,3508637029.jpg, 0, A softball player in sunglasses tries to avoid a mishap with another player .
74011,3508637029.jpg, 1," Two women playing softball , one with sunglasses on ."
74012,3508637029.jpg, 2, Two female baseball players reach for the ball .
74013,3508637029.jpg, 3, Two softball players trying to catch a ball
74014,3508637029.jpg, 4, women playing softball in uniforms .
78775,3612825666.jpg, 0," In the far distance , a boy is sliding his skateboard down a handrail ."
78776,3612825666.jpg, 1, The man is skateboarding down the railing in the middle of the steps .
78777,3612825666.jpg, 2, A man is skating down a rail in front of a group of people .
78778,3612825666.jpg, 3, A man grinding down a handrail .
78779,3612825666.jpg, 4, Some skateboarders on stairs .
155425,8083702960.jpg, 0," Six hockey players , three with blue and white uniforms and three from a team with yellow and black uniforms , and a man in a referee outfit standing on the ice in an ice rink ."
155426,8083702960.jpg, 1," Two opposing hockey teams face off , one wearing blue and white and the other wearing yellow and blue ."
155427,8083702960.jpg, 2, A referee is standing in between a team with yellow jerseys and a team with blue jerseys on .
155428,8083702960.jpg, 3, Hockey players waiting at the moment the puck is dropped by the referee .
155429,8083702960.jpg, 4, The hockey teams take center ice to face off for control of the puck .
24245,2310336052.jpg, 0," Two men playing a game of kicking a ball over a net , one man is jumping and the other is in the air on his side ."
24246,2310336052.jpg, 1, Two guys are in he air with neither foot touching the ground .
24247,2310336052.jpg, 2, Two men are kicking a yellow and black ball over a net .
24248,2310336052.jpg, 3, Two athletes are competing in a ball and net game .
24249,2310336052.jpg, 4, Two men are flailing around a soccer ball .
11275,1691038839.jpg, 0, A kid in a blue and black hockey jersey has just scored a goal on a kid in a white and tan hockey jersey .
11276,1691038839.jpg, 1, A child wearing a blue shirt is playing ice hockey and had just shot a goal .
11277,1691038839.jpg, 2, A goalie attempts to block a puck hit by a player at an ice hockey game .
11278,1691038839.jpg, 3, Two fully geared children participate in ice hockey .
11279,1691038839.jpg, 4, Two children participate in the game of Hockey .
142345,6280934841.jpg, 0," A large group of young women outside , all wearing the same blue tracksuit , waving and smiling at the camera ."
142346,6280934841.jpg, 1," Twenty four excited teenage girls , posing for a photo at a high school football stadium ."
142347,6280934841.jpg, 2, A group of girls in uniform are having their picture taken near a football field .
142348,6280934841.jpg, 3, A group of girls stand in a football field and pose for the camera .
142349,6280934841.jpg, 4, Students in uniform pose for a picture during a football game .
48015,2902844125.jpg, 0, The boy in the yellow shirt is riding a skateboard along a red bar .
48016,2902844125.jpg, 1, A teenage boy grinds across a bar on his skateboard .
48017,2902844125.jpg, 2, A boy performs a trick on his skateboard on a rail .
48018,2902844125.jpg, 3, A young man skateboards off a pink railing .
48019,2902844125.jpg, 4, a skateboarder grinds a red rail .
138215,5789670474.jpg, 0, A man skateboards in a skate park while others skaters skate in the background .
138216,5789670474.jpg, 1, A man with a black shirt and black pants doing a trick on a skateboard .
138217,5789670474.jpg, 2, A man dressed in black is skateboarding at a skate park .
138218,5789670474.jpg, 3, A tattooed skateboarder is doing a trick .
138219,5789670474.jpg, 4, Guys riding skateboards in a skate park .
34935,2568417021.jpg, 0," A boy looking intently , holding a blue basketball , a white house in the background ."
34936,2568417021.jpg, 1, A youn man in front of a white house holding blue and red basketball .
34937,2568417021.jpg, 2, a boy is holding a basketball up in front of a white house .
34938,2568417021.jpg, 3, A boy gets ready to shoot a basketball .
34939,2568417021.jpg, 4, A man is shooting a blue basketball .
135520,5500138655.jpg, 0, Two older men in big jackets are playing a game of air hockey together .
135521,5500138655.jpg, 1," Two people wearing coats are playing an "" Airgame "" ."
135522,5500138655.jpg, 2, Starting a game of hair hockey between two men .
135523,5500138655.jpg, 3, Two guys wearing coats playing air hockey .
135524,5500138655.jpg, 4, two men playing a ice hockey together
41465,2737664903.jpg, 0, A group of people standing in the snow with a mountain in the background .
41466,2737664903.jpg, 1, Four people with hiking equipment are standing in the snow .
41467,2737664903.jpg, 2, The sun shines bright on the snow surrounding a few people .
41468,2737664903.jpg, 3, Several skiers stand in the distance surrounded by snow .
41469,2737664903.jpg, 4, A few people are skiing in the snow .
66185,3337174014.jpg, 0, A guy is attempting to perform a skateboard trick while jumping over part of a white building in an attempt to land on the concrete outside .
66186,3337174014.jpg, 1, A skateboarder flips his skateboard in midair while jumping from a ledge to the ground in front of a white structure .
66187,3337174014.jpg, 2, A teenage boy is jumping off the side of a building with his skateboard about five feet in the air .
66188,3337174014.jpg, 3, A man is on a skateboard jumping from a short ledge onto the sidewalk .
66189,3337174014.jpg, 4, A man does tricks with a skateboard off the front of a building .
22675,2271667421.jpg, 0, A group of crosscountry skiers following a path through the forest .
22676,2271667421.jpg, 1, A large group of people crosscountry skiing in the snow .
22677,2271667421.jpg, 2, A group of crosscountry skiers are skiing down a trail .
22678,2271667421.jpg, 3, Several crosscountry skiers following a trail .
22679,2271667421.jpg, 4, Skiers walking up the slope .
47610,2894217628.jpg, 0, Two young men on the same football team are wearing orange and white uniforms and playing on an outside field while coaches and other players watch .
47611,2894217628.jpg, 1," A holder and kicker for a football team dressed in orange , white and black play while onlookers behind them watch ."
47612,2894217628.jpg, 2, The football player wearing a white helmet and orange chairs swing his leg while the player next to him kneels .
47613,2894217628.jpg, 3, A kicker launches the football forward while the holder checks his fingers .
47614,2894217628.jpg, 4, Two football player are in the kick off position in front of a crowd .
56935,3126752627.jpg, 0, A basketball player shooting while another player is trying to block his shot .
56936,3126752627.jpg, 1, A basketball player tries to block another .
56937,3126752627.jpg, 2, Two basketball players reaching for a ball .
56938,3126752627.jpg, 3, two men jump for the basketball .
56939,3126752627.jpg, 4, Two men are playing Basketball
40965,2724069562.jpg, 0, A man wearing a red shirt is swinging a tennis racket .
40966,2724069562.jpg, 1, A tennis player in a red shirt strikes a dynamic pose .
40967,2724069562.jpg, 2, A man in a red shirt plays tennis outdoors .
40968,2724069562.jpg, 3, A young man in a red shirt playing tennis .
40969,2724069562.jpg, 4, A man in a red shirt playing tennis .
53755,3048380686.jpg, 0, A hockey player tries to make a goal while the goalie and another player look on .
53756,3048380686.jpg, 1, A goalie blocking the goal with assistance from a teammate during a hockey game .
53757,3048380686.jpg, 2, The goalie with the white jersey allowed a goal by the player on the red team .
53758,3048380686.jpg, 3, A hockey player shooting for a goal in a professional game .
53759,3048380686.jpg, 4, Hockey players scramble in front of the goal .
19940,2197587684.jpg, 0, A woman in blue shorts and white shirt holds a tennis racket on a blue tennis court .
19941,2197587684.jpg, 1, A female tennis player is standing with her feet apart on a court .
19942,2197587684.jpg, 2, A woman in a white top and blue shorts is playing tennis .
19943,2197587684.jpg, 3, Woman in a white shirt and blue shorts playing tennis .
19944,2197587684.jpg, 4, A blond woman wearing glasses is playing tennis .
13200,1865794069.jpg, 0, A small child plays with a ball while others relax and converse with one another .
13201,1865794069.jpg, 1, A blond boy with a navy blue uniform kicks a soccer ball in an open field .
13202,1865794069.jpg, 2, A boy in an all blue uniform kicks a blue soccer ball in a grassy area .
13203,1865794069.jpg, 3, A young boy dressed in blue and white is kicking a soccer ball .
13204,1865794069.jpg, 4, A little boy is playing soccer at a field .
78255,3601491447.jpg, 0, A group of young men in sports uniforms from two opposing teams are in vigorous play on a grassy field .
78256,3601491447.jpg, 1, Three men wearing the same black and yellow uniform are blocking another man in a red uniform .
78257,3601491447.jpg, 2, three rugby players in black strips are pulling the player in red to the ground .
78258,3601491447.jpg, 3, Three players bring a team opponent to the ground .
78259,3601491447.jpg, 4, Three men tackle someone from the opposite team .
86015,3822469102.jpg, 0, A rollerblader in a red hat is grinding on an elevated metal pole .
86016,3822469102.jpg, 1, A man without a shirt performs rollerblading tricks on a course .
86017,3822469102.jpg, 2, A shirtless guy does a skateboarding trick off of a wooden box .
86018,3822469102.jpg, 3, A shirtless guy in jeans performing an ollie on a skateboard .
86019,3822469102.jpg, 4, Shirtless rollerblader performs tricks at a competition .
51350,2990977776.jpg, 0, A young boy wearing a black shirt and brown pants practices jumping over a low bar on a skateboard .
51351,2990977776.jpg, 1, A boy is doing a stunt with his skateboard .
51352,2990977776.jpg, 2, A boy jumping a rail on his skateboard .
51353,2990977776.jpg, 3, boy doing tricks on a skateboard
51354,2990977776.jpg, 4, A boy skateboarding .
70200,3425853460.jpg, 0, A man is hitting a tennis ball in a professional match .
70201,3425853460.jpg, 1, A man hits a tennis ball during a professional match .
70202,3425853460.jpg, 2, A man hits the tennis ball with his racket .
70203,3425853460.jpg, 3, A man with a green headband plays tennis .
70204,3425853460.jpg, 4, A man in a blue headband playing tennis .
48745,2922512807.jpg, 0, a topless man is airborne on a skateboard in front of a white building .
48746,2922512807.jpg, 1, A young man jumps down a flight of stairs on his skateboard
48747,2922512807.jpg, 2, A man is flying down a flight of stairs on his skateboard .
48748,2922512807.jpg, 3, A shirtless young boy rides his skateboard over steps .
48749,2922512807.jpg, 4, Boy jumping steps with skateboard
7170,1414820925.jpg, 0, A man in red shorts jumping in back of a volleyball net .
7171,1414820925.jpg, 1, Guy in red shorts jumping up in front of volleyball net
7172,1414820925.jpg, 2, A man in red shorts jumps behind a volleyball net .
7173,1414820925.jpg, 3, A man in red swim trunks playing volleyball .
7174,1414820925.jpg, 4, Athletic man spiking volleyball .
19970,2198511848.jpg, 0," Snowboarder flies off of snowy jump , mountains in background ."
19971,2198511848.jpg, 1, A snowboarder jumps through the air on their snowboard .
19972,2198511848.jpg, 2, The snowboarder is in the middle of a very tall jump
19973,2198511848.jpg, 3, A man jumps off a ramp on a snowboard .
19974,2198511848.jpg, 4, A snowboarder high in the air .
76190,3555231025.jpg, 0," A small girl , wearing a pink top and jeans , stands on a field , with others in the background ."
76191,3555231025.jpg, 1, A small white-skinned girl in a pink top and jeans stands on a soccer field .
76192,3555231025.jpg, 2, A young girl in blue jeans and a red shirt is in the green grass .
76193,3555231025.jpg, 3, Girl in pink top dancing in a field .
76194,3555231025.jpg, 4, A young girl smiles in a field .
147390,6943740971.jpg, 0, A basketball player in a red uniform blocks the shot of a player in a white uniform and glasses while other while a referee watches and other players and onlookers sit behind them .
